D,s2,residual
3.6,-1.5740231874622406,1e-05
3.65,-1.5232581874622408,1e-05
3.7,-1.4724931874622404,1e-05
3.75,-1.4217281874622407,1e-05
3.8000000000000003,-1.3709631874622406,1e-05
3.85,-1.3201981874622406,1e-05
3.9000000000000004,-1.2694331874622404,1e-05
3.95,-1.2186681874622405,1e-05
4.0,0.0,1e-05
4.050000000000001,-1.1171381874622401,1e-05
4.1000000000000005,-1.0663731874622402,1e-05
4.15,-1.0156081874622405,1e-05
4.2,-0.9648431874622406,1e-05
4.25,-0.9140781874622408,1e-05
4.300000000000001,-0.8633131874622401,1e-05
4.3500000000000005,-0.8125481874622402,1e-05
4.4,-0.7617831874622405,1e-05
